Weapon1,Weapon2,Material1,Material2,Hypothesis,Total Cells,Matching Cells,Type1,Type2
b4f6763191,b4f6763191,Nickel,Nickel,1,21,1,125b,125b
b4f6763191,b4f6763191,Nickel,Nickel,1,16,1,125b,125b
ef85c2ef6b,ef85c2ef6b,Nickel,Nickel,1,21,2,125b,125b
ef85c2ef6b,ef85c2ef6b,Nickel,Nickel,1,16,5,125b,125b
554cd2f9ad,554cd2f9ad,Brass,Nickel,1,26,1,125b,125b
554cd2f9ad,554cd2f9ad,Nickel,Brass,1,26,2,125b,125b
a9542eafb6,a9542eafb6,Nickel,Brass,1,35,3,125b,125b
a9542eafb6,a9542eafb6,Brass,Nickel,1,21,2,125b,125b
d54a78b3f6,d54a78b3f6,Brass,Brass,1,20,1,125b,125b
d54a78b3f6,d54a78b3f6,Brass,Brass,1,23,2,125b,125b
275310424a,275310424a,Brass,Nickel,1,21,1,125b,125b
275310424a,275310424a,Nickel,Brass,1,23,3,125b,125b
dd8d33227f,dd8d33227f,Nickel,Brass,1,28,1,125b,125b
dd8d33227f,dd8d33227f,Brass,Nickel,1,12,0,125b,125b
7db9fa3fdc,7db9fa3fdc,Brass,Brass,1,25,1,125b,125b
7db9fa3fdc,7db9fa3fdc,Brass,Brass,1,18,2,125b,125b
0b782c3069,0b782c3069,Nickel,Nickel,1,25,18,125b,125b
0b782c3069,0b782c3069,Nickel,Nickel,1,23,12,125b,125b
b4475e07ab,b4475e07ab,Nickel,Nickel,1,16,0,125b,125b
b4475e07ab,b4475e07ab,Nickel,Nickel,1,21,2,125b,125b
1440f0509e,1440f0509e,Nickel,Nickel,1,23,7,125b,125b
1440f0509e,1440f0509e,Nickel,Nickel,1,23,7,125b,125b
744a7e7690,744a7e7690,Nickel,Nickel,1,21,6,125b,125b
744a7e7690,744a7e7690,Nickel,Nickel,1,23,4,125b,125b
88c293654f,88c293654f,Brass,Nickel,1,20,1,125b,125b
88c293654f,88c293654f,Nickel,Brass,1,28,3,125b,125b
9fbf447e53,9fbf447e53,Nickel,Brass,1,28,2,125b,125b
9fbf447e53,9fbf447e53,Brass,Nickel,1,23,1,125b,125b
b153610b71,b153610b71,Nickel,Nickel,1,23,7,125b,125b
b153610b71,b153610b71,Nickel,Nickel,1,23,5,125b,125b
1be78463d7,1be78463d7,Nickel,Brass,1,16,2,125b,125b
1be78463d7,1be78463d7,Brass,Nickel,1,20,2,125b,125b
41f1030655,41f1030655,Nickel,Brass,1,24,3,125b,125b
41f1030655,41f1030655,Brass,Nickel,1,15,3,125b,125b
ac9b7024b2,ac9b7024b2,Nickel,Nickel,1,23,8,125b,125b
ac9b7024b2,ac9b7024b2,Nickel,Nickel,1,30,9,125b,125b
07ffa2d44f,07ffa2d44f,Nickel,Nickel,1,36,8,125b,125b
07ffa2d44f,07ffa2d44f,Nickel,Nickel,1,20,9,125b,125b
2dafb6ca52,2dafb6ca52,Nickel,Brass,1,18,1,125b,125b
2dafb6ca52,2dafb6ca52,Brass,Nickel,1,20,2,125b,125b
1f2544214d,1f2544214d,Nickel,Nickel,1,26,2,125b,125b
1f2544214d,1f2544214d,Nickel,Nickel,1,24,3,125b,125b
37d21f987c,37d21f987c,Brass,Brass,1,16,12,125b,125b
37d21f987c,37d21f987c,Brass,Brass,1,16,13,125b,125b
