Type1,Type2,Weapon1,Weapon2,Material1,Material2,Hypothesis,Matching Cells,Total Cells
e8a2,e8a2,e8a21c10c7,e8a21c10c7,Nickel,Brass,1,10,42
27c4,27c4,27c44d34a4,27c44d34a4,Brass,Brass,1,14,36
27c4,27c4,27c44d34a4,27c44d34a4,Brass,Brass,1,15,36
89d2,89d2,89d2cec2bc,89d2cec2bc,Brass,Brass,1,27,42
89d2,89d2,89d2cec2bc,89d2cec2bc,Brass,Brass,1,25,30
8b44,8b44,8b448b9e4c,8b448b9e4c,Nickel,Nickel,1,16,21
8b44,8b44,8b448b9e4c,8b448b9e4c,Nickel,Nickel,1,18,21
3cad,3cad,3cadb33f2f,3cadb33f2f,Nickel,Brass,1,25,36
3cad,3cad,3cadb33f2f,3cadb33f2f,Brass,Nickel,1,16,36
006a,006a,006a1314fe,006a1314fe,Brass,Brass,1,15,36
006a,006a,006a1314fe,006a1314fe,Brass,Brass,1,15,36
8eda,8eda,8edaa51105,8edaa51105,Brass,Nickel,1,26,36
8eda,8eda,8edaa51105,8edaa51105,Nickel,Brass,1,27,42
9f5c,9f5c,9f5cee2a11,9f5cee2a11,Nickel,Nickel,1,24,36
9f5c,9f5c,9f5cee2a11,9f5cee2a11,Nickel,Nickel,1,25,36
9e16,9e16,9e169b6b4a,9e169b6b4a,Nickel,Nickel,1,22,36
9e16,9e16,9e169b6b4a,9e169b6b4a,Nickel,Nickel,1,20,36
2558,2558,255872d83b,255872d83b,Brass,Nickel,1,2,36
2558,2558,255872d83b,255872d83b,Nickel,Brass,1,4,36
84e0,84e0,84e0e9ad16,84e0e9ad16,Brass,Nickel,1,15,32
84e0,84e0,84e0e9ad16,84e0e9ad16,Nickel,Brass,1,18,36
9e83,9e83,9e83787977,9e83787977,Brass,Brass,1,31,42
9e83,9e83,9e83787977,9e83787977,Brass,Brass,1,34,42
cdfa,cdfa,cdfa00c17a,cdfa00c17a,Brass,Nickel,1,14,38
cdfa,cdfa,cdfa00c17a,cdfa00c17a,Nickel,Brass,1,16,42
5187,5187,5187134316,5187134316,Brass,Brass,1,23,42
5187,5187,5187134316,5187134316,Brass,Brass,1,23,36
0658,0658,065850e0e3,065850e0e3,Brass,Brass,1,25,36
0658,0658,065850e0e3,065850e0e3,Brass,Brass,1,23,38
4657,4657,465776f37d,465776f37d,Nickel,Nickel,1,23,36
4657,4657,465776f37d,465776f37d,Nickel,Nickel,1,24,42
7471,7471,74711b8750,74711b8750,Brass,Nickel,1,8,36
7471,7471,74711b8750,74711b8750,Nickel,Brass,1,9,36
1fa0,1fa0,1fa0c6d8d0,1fa0c6d8d0,Brass,Nickel,1,22,36
1fa0,1fa0,1fa0c6d8d0,1fa0c6d8d0,Nickel,Brass,1,21,39
33cc,33cc,33cc68a9eb,33cc68a9eb,Brass,Nickel,1,23,42
33cc,33cc,33cc68a9eb,33cc68a9eb,Nickel,Brass,1,23,30
326b,326b,326bd7053d,326bd7053d,Nickel,Nickel,1,24,42
326b,326b,326bd7053d,326bd7053d,Nickel,Nickel,1,22,42
6ba9,6ba9,6ba945db7f,6ba945db7f,Brass,Brass,1,19,36
6ba9,6ba9,6ba945db7f,6ba945db7f,Brass,Brass,1,24,36
27c0,27c0,27c03bf211,27c03bf211,Nickel,Brass,1,19,32
27c0,27c0,27c03bf211,27c03bf211,Brass,Nickel,1,17,36
f366,f366,f366f00cde,f366f00cde,Brass,Nickel,1,24,36
f366,f366,f366f00cde,f366f00cde,Nickel,Brass,1,29,36
5c9d,5c9d,5c9da0f7f0,5c9da0f7f0,Brass,Brass,1,35,38
5c9d,5c9d,5c9da0f7f0,5c9da0f7f0,Brass,Brass,1,38,42
d469,d469,d469fc3f70,d469fc3f70,Brass,Nickel,1,10,36
d469,d469,d469fc3f70,d469fc3f70,Nickel,Brass,1,8,32
d962,d962,d9628e3d80,d9628e3d80,Brass,Brass,1,2,36
d962,d962,d9628e3d80,d9628e3d80,Brass,Brass,1,1,16
2a3b,2a3b,2a3b7ab647,2a3b7ab647,Nickel,Brass,1,23,36
2a3b,2a3b,2a3b7ab647,2a3b7ab647,Brass,Nickel,1,22,36
9fbb,9fbb,9fbbe4fcae,9fbbe4fcae,Nickel,Brass,1,10,36
9fbb,9fbb,9fbbe4fcae,9fbbe4fcae,Brass,Nickel,1,12,36
a524,a524,a524d36b72,a524d36b72,Brass,Brass,1,15,30
a524,a524,a524d36b72,a524d36b72,Brass,Brass,1,14,23
7204,7204,7204a1feeb,7204a1feeb,Brass,Brass,1,20,36
7204,7204,7204a1feeb,7204a1feeb,Brass,Brass,1,21,36
651a,651a,651a720f52,651a720f52,Nickel,Brass,1,24,36
651a,651a,651a720f52,651a720f52,Brass,Nickel,1,26,36
c208,c208,c2081b71be,c2081b71be,Brass,Nickel,1,13,36
c208,c208,c2081b71be,c2081b71be,Nickel,Brass,1,8,36
979f,979f,979f5b1f5f,979f5b1f5f,Nickel,Brass,1,15,36
979f,979f,979f5b1f5f,979f5b1f5f,Brass,Nickel,1,13,35
9c65,9c65,9c6504e345,9c6504e345,Brass,Brass,1,3,36
9c65,9c65,9c6504e345,9c6504e345,Brass,Brass,1,6,36
bf77,bf77,bf77a5ca9b,bf77a5ca9b,Nickel,Brass,1,6,27
bf77,bf77,bf77a5ca9b,bf77a5ca9b,Brass,Nickel,1,6,28
be50,be50,be50e7d534,be50e7d534,Brass,Nickel,1,19,34
be50,be50,be50e7d534,be50e7d534,Nickel,Brass,1,18,40
93f6,93f6,93f6afc25d,93f6afc25d,Nickel,Brass,1,9,32
93f6,93f6,93f6afc25d,93f6afc25d,Brass,Nickel,1,16,36
ed47,ed47,ed472f9cda,ed472f9cda,Nickel,Brass,1,31,36
ed47,ed47,ed472f9cda,ed472f9cda,Brass,Nickel,1,32,36
a49e,a49e,a49e80e2bf,a49e80e2bf,Brass,Nickel,1,2,32
a49e,a49e,a49e80e2bf,a49e80e2bf,Nickel,Brass,1,3,32
e68e,e68e,e68e579c5b,e68e579c5b,Nickel,Brass,1,7,31
e68e,e68e,e68e579c5b,e68e579c5b,Brass,Nickel,1,10,36
114a,114a,114a81160d,114a81160d,Nickel,Brass,1,9,36
114a,114a,114a81160d,114a81160d,Brass,Nickel,1,10,36
5460,5460,54602388df,54602388df,Nickel,Brass,1,28,36
5460,5460,54602388df,54602388df,Brass,Nickel,1,30,36
4a85,4a85,4a8527a9a0,4a8527a9a0,Nickel,Nickel,1,26,30
4a85,4a85,4a8527a9a0,4a8527a9a0,Nickel,Nickel,1,23,30
81a5,81a5,81a541161d,81a541161d,Brass,Brass,1,18,36
81a5,81a5,81a541161d,81a541161d,Brass,Brass,1,13,30
1588,1588,1588672e36,1588672e36,Brass,Nickel,1,30,36
1588,1588,1588672e36,1588672e36,Nickel,Brass,1,31,42
5a62,5a62,5a62fb7223,5a62fb7223,Nickel,Nickel,1,23,36
5a62,5a62,5a62fb7223,5a62fb7223,Nickel,Nickel,1,16,36
cd57,cd57,cd576798db,cd576798db,Nickel,Nickel,1,14,40
cd57,cd57,cd576798db,cd576798db,Nickel,Nickel,1,16,36
0c71,0c71,0c7139a036,0c7139a036,Nickel,Brass,1,34,36
0c71,0c71,0c7139a036,0c7139a036,Brass,Nickel,1,32,36
fc6e,fc6e,fc6e345a87,fc6e345a87,Brass,Nickel,1,21,27
fc6e,fc6e,fc6e345a87,fc6e345a87,Nickel,Brass,1,19,27
f8c4,f8c4,f8c4c41732,f8c4c41732,Brass,Nickel,1,15,36
f8c4,f8c4,f8c4c41732,f8c4c41732,Nickel,Brass,1,16,36
a34f,a34f,a34f3c0664,a34f3c0664,Nickel,Nickel,1,19,36
a34f,a34f,a34f3c0664,a34f3c0664,Nickel,Nickel,1,18,30
b829,b829,b8299ace38,b8299ace38,Brass,Brass,1,17,36
b829,b829,b8299ace38,b8299ace38,Brass,Brass,1,15,36
2d2a,2d2a,2d2accdd65,2d2accdd65,Nickel,Brass,1,10,30
2d2a,2d2a,2d2accdd65,2d2accdd65,Brass,Nickel,1,9,30
